Name,Comment,Time,Likes,Reply Count
#INDIAN GAMER YT Indian gamer,Hfhhfh,2021-04-04T14:33:32Z,1,0
#INDIAN GAMER YT Indian gamer,Hii,2021-04-04T14:33:28Z,1,0
#INDIAN GAMER YT Indian gamer,Hii,2021-04-04T14:33:17Z,1,0
#INDIAN GAMER YT Indian gamer,Hii,2021-04-04T14:33:13Z,1,0
King Kartik gamer /_,Ajju bhai please.-K- KARKTAR,2021-04-04T14:32:47Z,1,0
Adnan Khan,Azham gaming is the first to make,2021-04-04T14:32:26Z,0,0
Shankar Singh,Bhiya me apka fen,2021-04-04T14:31:31Z,0,0
Shankar Singh,Hello,2021-04-04T14:30:54Z,0,0
CookieDealer69,ᶜᵃⁿ ᴵ ᵍᵉᵗ ¹ ˢᵘᵇˢᶜʳᶦᵇᵉʳ ᶠʳᵒᵐ ᵗʰᶦˢ ᵗᶦⁿʸ ᶜᵒᵐᵐᵉⁿᵗˀ,2021-04-04T14:29:49Z,1,0
Kiran Jaiswal,Good morning,2021-04-04T14:28:44Z,0,0
Anil Kumar,Hi,2021-04-04T14:28:30Z,0,0
M8N /مستقعدين,<b>All school and college students are here</b> ‌.,2021-04-04T14:27:19Z,0,0
M8N /مستقعدين,<b>Just imagine how many army coming every second minutes and hour</b> ‌‌,2021-04-04T14:27:11Z,0,2
M8N /مستقعدين,<b>congrats to everyone who early found this comment❤</b> ‌‌‌,2021-04-04T14:27:07Z,0,0
Viral Limbachiya,Op ajjubhai meri bhi rcb fev he,2021-04-04T14:26:28Z,0,0
Aryan jadhav,Nood,2021-04-04T14:25:56Z,0,0
Ansh Soam,Hii,2021-04-04T14:25:45Z,0,0
Vaishali Patil,Ajjubhai kuch bhi karlo Lekin es bar Chennai super kings hi jite ge,2021-04-04T14:25:40Z,0,0
Tanveer Singh,Ajjubhai 💖💕💖,2021-04-04T14:23:05Z,1,0
Ajay Kashyap,Nice 🥰 🥰 🥰🥰🥰🥰,2021-04-04T14:19:41Z,0,0
Ialji.nanji Bariya,Hii,2021-04-04T14:17:42Z,0,0
Harman Singh,Hello,2021-04-04T14:17:34Z,0,0
Ayush Singh,What is the redeem code,2021-04-04T14:16:49Z,0,0
Sumaira Nisar,😶😶😶😶😶😶😶🙁🙁😒😒🙈🙈🙈🙈🙈🙈🙈🙈🙆🙆🙆🙆🙆🙆🙆🙆,2021-04-04T14:14:53Z,0,0
Sumaira Nisar,Mania ki gf op in the chat,2021-04-04T14:13:34Z,0,0
Sweety Verma,2023 ya2024,2021-04-04T14:11:51Z,0,0
Sweety Verma,Final,2021-04-04T14:11:36Z,0,0
Sweety Verma,Ajju Bhai ap apna face reveall kab karoga,2021-04-04T14:11:29Z,0,0
pranay_ff_,Bhai mujhe toda diamonds chahiye bhai please bhai please mara id pa top up kardo na please bhai please bhai please top up kardo na please bhai please my uid <i>____</i> 459942719_<i>___</i><br />Please bhai top up kardo na please bhai please bhai ma roj puchrahaho na bhai please bhai please top up kardo na please bhai please bhai please bhai 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢,2021-04-04T14:10:39Z,0,0
Ashwani Kumar,8377386388363,2021-04-04T14:10:04Z,1,0
Kushal Mirghani,1v1kar,2021-04-04T14:09:19Z,1,0
Gagan khaita,Good moriming,2021-04-04T14:08:19Z,0,0
virat_kohali_18_4,Merato 1 spin nikal gaya,2021-04-04T14:08:04Z,0,0
Palak s,Ajju bhai tumko fashionable karoge,2021-04-04T14:07:27Z,0,0
Rocky Ron,Hello saurabh Sir 🙋‍♂🙋‍♂🙋‍♂,2021-04-04T14:07:04Z,0,0
Ajay Verma,Opi bro पीछली video me mashat bat khi h laef ke bare me ❤️❤️❤️❤️❤️❤️ vary nice video bro 👌👌👌👌👍👍👍👍👍🌹,2021-04-04T14:06:50Z,1,0
Kirpal Singh,Boht Hard,2021-04-04T14:05:49Z,0,1
Laucas Ctares,Nepali sarbar please 🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,2021-04-04T14:05:23Z,0,0
ravi lava rk,जो भी मेरा कमेंट👀 पढ़ रहा है भगवान उनके माता-पिता को लंबी उम्र❣️ दे धन्यवाद🙏🙏.,2021-04-04T14:04:48Z,3,0
Jaydipsinh Jadeja,Kese ho,2021-04-04T14:04:45Z,0,0
DEEPIKA KHANDELWAL,RCB will win vovi ipl,2021-04-04T14:02:49Z,0,0
SHARFUDIN SHARFUDIN,Hi,2021-04-04T14:02:47Z,0,0
SHARFUDIN SHARFUDIN,Hi,2021-04-04T14:02:43Z,0,0
SHARFUDIN SHARFUDIN,Hi,2021-04-04T14:02:38Z,0,0
SHARFUDIN SHARFUDIN,Hi,2021-04-04T14:02:33Z,0,0
DEEPIKA KHANDELWAL,I love RCB,2021-04-04T14:02:29Z,0,0
SHARFUDIN SHARFUDIN,Hi,2021-04-04T14:02:26Z,0,0
Sarita Chaudhary,Heelo,2021-04-04T14:02:05Z,0,0
Sanjay Malakar,ajjubhai po,2021-04-04T14:01:15Z,0,0
Nitsh Thakor,Nice 👌👍,2021-04-04T13:57:17Z,1,0
Rinki Mittal,Titan dice op,2021-04-04T13:57:10Z,0,0
kunal Gaude,Hi,2021-04-04T13:56:53Z,0,0
TOTAL GAMER All Games Play,RCB IS PRO TEAM,2021-04-04T13:56:36Z,0,0
kanu anshu,Bhai meri I&#39;d he karanzo 03340 he ya 033140,2021-04-04T13:56:25Z,1,0
Mamta Gola,Aap kase ho bhai,2021-04-04T13:55:41Z,0,0
Mamta Gola,Mast bhi,2021-04-04T13:55:29Z,0,0
PRIYANSHU KUMAR,Hhhhhhhhhhhh&amp;hhhhhjjuyhjjhhhhhh&amp;hihuuyyuuhhhjjhhyyuikjmnngfuij,2021-04-04T13:55:14Z,0,0
Subrat Bag,Top,2021-04-04T13:53:42Z,0,0
Ninama Prince,Ajjubhai,2021-04-04T13:53:42Z,0,0
Ninama Prince,Hiii,2021-04-04T13:52:59Z,0,0
Himanshu Tiwari,RCB mera bhi favourite hai,2021-04-04T13:52:41Z,1,0
Nandini Gupta,Anju 42 King Kohli,2021-04-04T13:50:00Z,0,0
Nandini Gupta,Ajju Bhai aap byali scheme Khol Payenge Ki Nahin,2021-04-04T13:49:35Z,0,0
Gagan Shrestha,thank you,2021-04-04T13:49:25Z,1,0
Muka bhai Sankaliya,Iove OP,2021-04-04T13:49:20Z,0,0
Nandini Gupta,Ajju bhai factory se aapane headshot,2021-04-04T13:49:07Z,0,0
Monika Jha,Bhai mera message tum tak pahuc jaye,2021-04-04T13:49:04Z,0,0
Nandini Gupta,Vanah,2021-04-04T13:48:46Z,0,0
Sani Thakor,Jay ff Jay total gaming,2021-04-04T13:47:49Z,0,0
Pranab Pranav baishya,Hi,2021-04-04T13:47:28Z,1,0
Tarik Khan,R C B Op bolte,2021-04-04T13:47:23Z,0,0
અનિલ બુધાજી,😘😘😘😘😘😎,2021-04-04T13:46:53Z,1,0
Kedar Modi,Thank you,2021-04-04T13:46:22Z,1,0
Monika Jha,Kar do,2021-04-04T13:46:19Z,0,0
Kedar Modi,Op bro,2021-04-04T13:45:55Z,1,0
Dj Aadam Gaming,Hello,2021-04-04T13:45:17Z,0,0
Mataprasad Gupta,Top of the do,2021-04-04T13:45:10Z,0,0
Monika Jha,Please please Mai 500 duga,2021-04-04T13:45:05Z,0,0
PANTHER GAMING,Aju bhai is cheater in collection,2021-04-04T13:44:45Z,1,0
Monika Jha,Ok ajay,2021-04-04T13:44:40Z,0,0
Monika Jha,Mai tumhare liye 500 ₹ duga,2021-04-04T13:44:27Z,0,0
Mataprasad Gupta,2788503557 bhai is ID mein top of,2021-04-04T13:44:16Z,0,0
AniBoy,Please give me elite pass,2021-04-04T13:43:16Z,0,0
M R मरावी,A.j.bhai Mera to 2 card me hi Nikal gaya,2021-04-04T13:42:37Z,0,0
Monika Jha,Hay ajay,2021-04-04T13:42:37Z,0,0
Bot Bronze,A124 character advanced server : converts 60ep to 60hp cooldown 10sec 🌟😲☇😲🌟,2021-04-04T13:42:30Z,0,0
Gautam Dusane,3000000 rupees,2021-04-04T13:40:14Z,0,0
Anita Bhilare,Only mi,2021-04-04T13:38:06Z,1,0
Akshdeep singh,hlo bhai mujhe diamonds dedo <br />id - NinjaAy5643H,2021-04-04T13:37:45Z,0,0
Pravin Pravin,hy ajju bhai,2021-04-04T13:37:29Z,0,0
Lucky Raj,Bhai mere ko corono gift karo,2021-04-04T13:37:22Z,0,0
Aditya Tiwari,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=58m55s"">58:55</a> Ajju bhai I am agree with you Mumbai umpire ko paisa Deke jitti h",2021-04-04T13:37:07Z,1,0
Rauth Prabhakar,223247827_-,2021-04-04T13:35:41Z,0,0
GAMING ALI MINI MILITIA,Kharid na padta hai,2021-04-04T13:35:17Z,0,0
Nasima akter Surma,M,2021-04-04T13:35:15Z,0,0
Rauth Prabhakar,love,2021-04-04T13:35:04Z,1,0
Aditya Tiwari,Bhai rcb haarti h Dil toot jaata h💔💔💔💔,2021-04-04T13:34:17Z,0,0
Arun Katoch,Ajju Bhai MERI request utha lo MERI I&#39;d Alexher2559R ha,2021-04-04T13:33:17Z,0,0
Rahul Choudhary,I am rcb biggest fan,2021-04-04T13:33:10Z,0,0
Malikram Sidar,Achhe hai bhai,2021-04-04T13:33:04Z,0,0
Malikram Sidar,Hii bhai,2021-04-04T13:32:23Z,0,0
Psͥycͣhͫ๏ Jøkër,Bro you give me 1000 diamond,2021-04-04T13:32:23Z,0,0
Suhail Ahmad,face to face dikha de,2021-04-04T13:31:26Z,0,0
कपूर सरोज राज सरोज,Good mornig bhai,2021-04-04T13:31:25Z,1,0
Psͥycͣhͫ๏ Jøkër,Total gaming I challenge you buy night panther in free free so I gave you 10 coin,2021-04-04T13:31:17Z,0,0
mark pro gamer,Hi,2021-04-04T13:31:01Z,1,0
Arun Katoch,Hello,2021-04-04T13:30:49Z,0,0
Rama Santoshi,Hello Ajju bhai,2021-04-04T13:30:07Z,1,0
ABHISHEK MEENA,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=2h26m30s"">2:26:30</a>",2021-04-04T13:29:49Z,0,0
Javeria Khalid,Good morning,2021-04-04T13:29:45Z,0,0
Saurav Sharma,Hera pheri dekho,2021-04-04T13:29:01Z,0,0
Alx Gaming,Chai biscuit laya kaun,2021-04-04T13:28:40Z,0,0
VG_GAMING,R C FAN,2021-04-04T13:28:09Z,0,0
ABUBAKAR PATEL,Who else watching after stream 😅😂😂🔥🔥👍👍,2021-04-04T13:26:08Z,13,1
Aditya Tiwari,Ajju bhai aap IPL me kis team k fan ho m to rcb Ka hoo❤️,2021-04-04T13:25:42Z,1,0
Shweta Rathore,Main Yuvraj bol raha hun 5000 Diamond Mujhe,2021-04-04T13:25:30Z,0,0
Mukesh Jamod,Ajjubhai lodo,2021-04-04T13:25:20Z,0,0
TECH ARYAN ff,BHAI MERE ID MEA TOP UP KARDO BHAI,2021-04-04T13:25:08Z,0,0
Mobail. Gaming,Bhai. 2021. Rcb. Win,2021-04-04T13:22:33Z,1,0
YASH YT,Nobra Amit nekal ose game see nobdaa,2021-04-04T13:22:26Z,1,0
R.K GAMING,Bhai aap Bade Acche,2021-04-04T13:22:03Z,1,0
R.K GAMING,PRO,2021-04-04T13:21:38Z,1,0
R.K GAMING,Bhai Humne teacher Aaye Nahin,2021-04-04T13:20:45Z,1,0
Mitesh Bhil Mitesh Bhil,Good Aju bhai,2021-04-04T13:20:22Z,1,0
avinash kumar,Abhi bahi aap total me to na,2021-04-04T13:18:13Z,0,0
All Public gaming,Bhai aap koi injiniyar ho kya plus repley,2021-04-04T13:17:57Z,0,0
Vinod Yadav,I&#39;d Ayush124104,2021-04-04T13:15:31Z,0,0
Total gaming bro,Ist Mumbai indian,2021-04-04T13:13:31Z,0,0
Vikas Verma,Ajjubhai मेरा भी इसी तरह से गेम कट जा रहा है। अगरआप को कोई सोल्यूसन मिलती है तो उसका विडीयो बनावो,2021-04-04T13:13:23Z,0,1
Tayyab Rehman,Please crono send ker do is id per tayyabA1018C per plz mere pas jota ha plz,2021-04-04T13:12:39Z,1,0
JAMES GAMING,Op,2021-04-04T13:10:56Z,1,0
Tayyab Rehman,tayyabA1018C is id per please crono character free ma de do,2021-04-04T13:10:47Z,1,0
Shivam Trivedi,Nahi h,2021-04-04T13:10:17Z,0,0
Shivam Mishra,OP ajjubhai,2021-04-04T13:08:04Z,1,0
Bisnu Shresth,🤟🤟🤟,2021-04-04T13:07:52Z,1,0
Mateen Asrar,Gray👍😁😉,2021-04-04T13:07:47Z,0,0
mr. ansa. 07,Hiii,2021-04-04T13:05:05Z,0,0
Shalu Dewangan,Hai,2021-04-04T13:04:33Z,0,0
Janardan Ojha,My name and id,2021-04-04T13:04:31Z,1,0
Janardan Ojha,Ham ko 1500 diamond de do,2021-04-04T13:04:10Z,0,0
Sarah Chhetry,ajjubhai please send me one th th thousand diamonds,2021-04-04T13:04:03Z,0,0
Sharanjit Singh,Hello,2021-04-04T13:03:47Z,0,0
Janardan Ojha,1 vs 1,2021-04-04T13:03:06Z,0,0
Janardan Ojha,Aaokat hai to aao,2021-04-04T13:02:54Z,0,0
Farhan Iraqui,I love all ❤💖❤💕💕,2021-04-04T13:02:11Z,1,0
Santosh।yadv Kumar,Many is ajju Bhai girlfriend,2021-04-04T13:01:47Z,0,0
Rajitha Garige,Good morning,2021-04-04T12:58:12Z,0,0
Aayush Patil,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=36m44s"">36:44</a><br />Kyu be loveday teri bhi jali naa<br />Motherboard<br />Landubhai 69",2021-04-04T12:57:59Z,1,0
mahek tharwani,Op,2021-04-04T12:57:28Z,1,0
op gamer,Dam ho to banaa Lo custom ID 2644800721,2021-04-04T12:57:21Z,0,0
rajbir nagwan,Ajju bhai app computer ma game khalte ho,2021-04-04T12:57:18Z,0,0
GaminG ZoNe,Bhai aja room lagaein💪💪💪,2021-04-04T12:56:22Z,0,0
Alpana Kumari,No year,2021-04-04T12:55:43Z,1,0
Games of Ali,1st game mania op,2021-04-04T12:55:20Z,0,0
Alpana Kumari,No,2021-04-04T12:55:10Z,1,0
Balaji Sakhre,hii,2021-04-04T12:53:54Z,1,0
Vickysk Vickysk,Nice gameplay,2021-04-04T12:53:46Z,0,0
Muneer Ahmad,Ajju bhai Abhi good morning nahin,2021-04-04T12:53:40Z,0,0
aarthik Arthik,Rcb♥️,2021-04-04T12:52:42Z,0,0
Nijam Khan,Kya bolu bhai sabbb,2021-04-04T12:52:12Z,0,0
VG_GAMING,Op Game,2021-04-04T12:51:59Z,1,0
Kamlesh Kumari,Hello,2021-04-04T12:51:59Z,0,0
Nijam Khan,Hmm tomara bhoat bara frand huuu,2021-04-04T12:51:52Z,0,0
Chandrakanth Kadagagnchi,1vs1karte hai chalo,2021-04-04T12:51:38Z,0,0
Nijam Khan,Ajju bhai kysa hoo,2021-04-04T12:51:16Z,0,0
RDX Gaming,Very nice gaming PC player,2021-04-04T12:51:09Z,0,0
Nijam Khan,Good evening,2021-04-04T12:50:47Z,0,0
Suraj Bagal,😎 cool bro😎,2021-04-04T12:50:36Z,1,0
Games of Ali,Bhai apni army ke sath q nahi khelte group match mey.🙄,2021-04-04T12:50:17Z,0,0
Arindam Mahajan,Meri bhi rcb favourite hh,2021-04-04T12:48:54Z,0,0
she the,तेरी इस कॉमन ट्री के लिए डेड सो रुपैया देगा,2021-04-04T12:48:41Z,1,0
Labh Singh,Hello ajjubhai,2021-04-04T12:48:37Z,0,0
SUMiT gaming,Hallo arju bhi,2021-04-04T12:48:15Z,1,0
Aarush Chukaha,Lov you all gyes,2021-04-04T12:48:09Z,0,0
Kirshan Kumur,Total army op,2021-04-04T12:48:04Z,0,0
Akshara Jadhav,Hi,2021-04-04T12:48:00Z,0,0
alone no. 4,Castum khaloga bhaiii,2021-04-04T12:47:00Z,0,0
Bansi Bhatt,Urank game,2021-04-04T12:44:56Z,0,0
Kamlesh Kumari,Hell crono craktar dedo ID Carmen123121 dedo Terimakasam dedio,2021-04-04T12:44:12Z,0,0
Lovepreet Singh,Bhai l love your voice,2021-04-04T12:44:00Z,0,0
Cat Lover,Hlo ajju bhai diamond dedo my 2642937832,2021-04-04T12:42:46Z,0,0
OMG GAMING,Custom vs please ajjubhai,2021-04-04T12:41:30Z,0,0
rohan mandalwar,Rohan11330V,2021-04-04T12:41:28Z,1,0
InfoTalk Hindi,1 hi hai 10 kardo,2021-04-04T12:41:15Z,0,0
Harsh Kumar,Your table photo,2021-04-04T12:40:28Z,0,0
Harsh Kumar,Sir show your pc photo,2021-04-04T12:40:16Z,0,0
OMG GAMING,Custom vs id 2370505612,2021-04-04T12:40:14Z,0,0
Maya Mabo,Op booyah,2021-04-04T12:39:30Z,0,0
Ꭺᴀʏᴜꜱʜ ɢᴀᴍɪɴɢ,Thanks for 100 subscribers ab sirf 200 krva do.,2021-04-04T12:38:55Z,0,0
Aryan Yadav,Aryan,2021-04-04T12:38:30Z,0,0
ROXTAR_GAMING_ ROXTAR_GAMING_,Ajjubhai aapki uid do na,2021-04-04T12:38:01Z,0,0
nitin lodhi,please,2021-04-04T12:37:30Z,0,0
nitin lodhi,please,2021-04-04T12:37:24Z,0,0
Ajay kumar dwivedi,Very ganda,2021-04-04T12:37:19Z,0,0
nitin lodhi,please,2021-04-04T12:37:16Z,0,0
Dinesh Singh,Please I have 999900 diamonds,2021-04-04T12:37:12Z,0,0
nitin lodhi,please,2021-04-04T12:36:58Z,0,0
Pintu Sethi,Please ajju bhai diamond da na please,2021-04-04T12:36:57Z,1,0
Alpana Kumari,Hi,2021-04-04T12:36:41Z,1,0
ram deshmukh,Ajjubhai meri id ki request exept karo meri id KingsMa3323H hai,2021-04-04T12:36:10Z,0,0
Santosh Singh,"I also love this three teams of IPL RCB ,CSK,MI",2021-04-04T12:35:36Z,0,0
dhurv singh,Baad me aayenge,2021-04-04T12:35:22Z,0,0
Ravinder Nasir,Jowai please alokit kar do na main aapke pass apni ID bhej raha hun,2021-04-04T12:35:17Z,0,0
Roy R,Sir pls play gta 5 pls pls pls pls sir pls pls pls pls pls,2021-04-04T12:34:56Z,0,0
Pintu Sethi,Mera UID 1888132984,2021-04-04T12:33:53Z,1,0
Creator World,What did I just watch?🔥,2021-04-04T12:33:44Z,0,0
Nikunj Niku,Chlo ajubhai 1 v 1 krte he meri aid 2020097508,2021-04-04T12:32:44Z,1,0
Pintu Sethi,Mere ko Diamond chaiye do na ajju bhai me apka bhata bada fan hu,2021-04-04T12:32:39Z,1,0
Abhishek Chudasama,Ajjubhai ek var ramilo plzzzzzzz mari sathe big from Baroda,2021-04-04T12:32:03Z,0,0
KillER GAMiNG,Diamond,2021-04-04T12:31:45Z,0,0
KillER GAMiNG,Pliz,2021-04-04T12:31:36Z,0,0
Bihari gamers 9565,अज्जू भाई ज्वाइन क्यों नहीं हो रहा है,2021-04-04T12:31:19Z,0,1
Onkar Sathe,Ajjubhai biraj ke sath video banao,2021-04-04T12:31:19Z,0,0
Alok Kumar,Bhai mere nam pawan hai,2021-04-04T12:30:59Z,1,0
Varsha Nikam,Guys please 15 subscriber kardo ❤,2021-04-04T12:30:40Z,0,0
Ranju Solanki,Àjjubhai aapka setup ka video banoy,2021-04-04T12:30:31Z,1,0
ROγAL᭄Yash࿐ gaming,Ajjubhai mai aapko 1on 1 match keliye chalang karta hu,2021-04-04T12:29:52Z,0,0
Nikunj Niku,Ajubhai chlo 1 v1 krte he,2021-04-04T12:29:34Z,1,0
jagadishwar Reddy,# AWM king👑👑👑,2021-04-04T12:29:06Z,0,0
shivangi dubey,2910445462 bhai please is ID per thode se diamond send kar do please please please bahut achcha,2021-04-04T12:27:57Z,1,0
Jayant Pawar,Graanyy ka game nikalo,2021-04-04T12:27:32Z,0,0
dheeraj singh,Si,2021-04-04T12:27:08Z,0,0
Sabin Nepali,Nepal 🇳🇵🇳🇵🇳🇵said your&#39;s friend give respect to Nepal... Pahadi gaming rip,2021-04-04T12:26:50Z,0,0
Bablu Barman,Hi,2021-04-04T12:26:24Z,0,0
Sagar singh,Waiting for 30 million,2021-04-04T12:24:05Z,0,0
IMRAN khan,Promise,2021-04-04T12:24:03Z,0,0
IMRAN khan,"Ajju bhai please mujhe de do I lock my RP 5,000 like kara",2021-04-04T12:23:47Z,0,0
IMRAN khan,dusri mein dekhe mere hisab se to aap wali mein dikhaiye aap ki meri gadi tu jismein bed cover lag raha tha yaar please ajju bhai ajju bhai ajju bhai ajju bhai ajju bhai ke taraf please de do de do please please please,2021-04-04T12:22:57Z,0,0
चमार दास,Hii,2021-04-04T12:21:01Z,0,0
Juber Ahmed,Hello,2021-04-04T12:20:57Z,0,0
चमार दास,Good morning,2021-04-04T12:20:43Z,0,0
FF GAMERTV,Thanks for 75❤❤❤ <br />100 Kara do 😘😘😘<br />Love you all❤❤❤,2021-04-04T12:20:29Z,5,0
Juber Ahmed,Hi,2021-04-04T12:20:17Z,0,0
Juber Ahmed,Good morning,2021-04-04T12:20:09Z,0,0
mafiya karan,Only Rcb❤️,2021-04-04T12:19:45Z,0,0
FF GAMERTV,THNKS FOR 75❤❤❤<br />100 KARA DO 😘😘😘<br />LOVE you all❤❤❤,2021-04-04T12:19:39Z,3,0
Nitin Bajad,Diamond chahie Mujhe Diamond chahie,2021-04-04T12:19:20Z,1,0
Gajender भाई gaming,Hii अजुभाई मेरी मे भी फिरी फायर खेलता हु तुम मेरे सामने कुछ नही हो ओकात होना ते मेरे सात खेले मेरी आईडी 3026 gajender <br />आजाओ दम है ते,2021-04-04T12:18:41Z,1,0
Akshit Singh,Top-up me,2021-04-04T12:18:12Z,0,0
monu gamers,Please pramot Kar do mako bada youtuber ban na hai kiyu ki Maira koi Nahi hai 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,2021-04-04T12:18:01Z,0,0
Gauraw Harish,Good morning,2021-04-04T12:17:35Z,0,0
Shiv Kumar,Please send me DJ lok,2021-04-04T12:16:30Z,0,0
Sankar masala sankar shankar diwana,Mandya Lok de do,2021-04-04T12:16:09Z,0,0
shadow gaming,Video dekh lena,2021-04-04T12:15:22Z,0,0
shadow gaming,Ajjubhai ki chadi fad di 😃😃😃😃😃😃😂😂😂,2021-04-04T12:15:04Z,0,0
Manisha Chaudhari,713133315,2021-04-04T12:14:18Z,0,0
Kishor Sahu,Helo,2021-04-04T12:13:57Z,0,0
Manisha Chaudhari,Hara ke dikha,2021-04-04T12:13:24Z,0,0
Kishor Sahu,Good morning,2021-04-04T12:11:56Z,0,0
Sampurna 21,trending #1 op,2021-04-04T12:11:34Z,0,0
TG BABA FF,1373706925,2021-04-04T12:11:34Z,1,0
Riya Kanu,Bhai mera 1spin main m14 nikal gaya,2021-04-04T12:10:48Z,1,0
gursewak sandhu,gursewak405 ID,2021-04-04T12:08:28Z,0,0
gursewak sandhu,Bhai please mujhe Diamond de do,2021-04-04T12:08:13Z,0,0
md sakib,Hi,2021-04-04T12:05:38Z,0,0
Aman Tamang,Omegle try,2021-04-04T12:04:44Z,0,0
SALINT GAMER OP,Nhi ha,2021-04-04T12:04:04Z,0,0
Sunidhi Chile,I need crono,2021-04-04T12:02:15Z,0,0
Vansh Masih,Hlo ajju bhai,2021-04-04T12:01:50Z,0,0
Ayush Saini,Kya he bolu bhai kya he bolu,2021-04-04T12:00:30Z,1,0
Rutik Sonone,Ajju bhai 👍👍👍👍🙏🏾👍👍👍👍,2021-04-04T12:00:29Z,0,0
Learning is Easy,Bhai vallahala Ka part 6 kab laoge,2021-04-04T11:58:53Z,1,0
Miya Bhai,Ajju Bhai Pro,2021-04-04T11:56:15Z,1,0
geming Tushar,Carryminati is King of youtuber,2021-04-04T11:55:23Z,1,0
Yudhistir Nayak,Bala na,2021-04-04T11:54:06Z,1,0
Funky ADIDAS originals,Op game play ajjubhai💯💯💯💯,2021-04-04T11:51:30Z,0,0
Funky ADIDAS originals,Op game play ajjubhai💯💯💯💯,2021-04-04T11:51:21Z,1,0
Boss Raja,Mota bhai red,2021-04-04T11:50:21Z,0,0
Dinesh Rajak,Hi ajjubhai,2021-04-04T11:48:55Z,0,0
anokha ff gamer,Ajjubhai you are my love,2021-04-04T11:45:40Z,2,0
Mamchand yadav,What is your mobile number aaju bhai,2021-04-04T11:45:09Z,0,0
rajesh ahirwar,Aapne piche chod diya,2021-04-04T11:44:33Z,0,0
rajesh ahirwar,Ha hai,2021-04-04T11:44:16Z,0,0
Sukanya Singh,good moring,2021-04-04T11:44:04Z,0,0
Ayush Mendhe,Oar tumase acha kohi kedata,2021-04-04T11:40:19Z,0,0
Solanki Sunil,Opppppp entro aaju bhai 😍😍,2021-04-04T11:40:13Z,1,0
Ayushman Gogoi,Total Gaming raid,2021-04-04T11:39:58Z,0,0
Khan Nowreen,Ajay bhai plz,2021-04-04T11:39:05Z,0,0
Amit Bhai,Congratulations 💐 Ajju Bhai,2021-04-04T11:37:58Z,1,0
Adarsh,Ajjubhai fans <br />Likes thoko,2021-04-04T11:37:44Z,1,0
B.M. Gaming,"Arjjubhai me apko bohat boria fan ho,,me bohath garib ho,,mere ko koch diamond de do bhai,,mera UI: 1084196118",2021-04-04T11:37:42Z,0,0
Manir Miah,Hi,2021-04-04T11:37:38Z,1,0
Faizan wahla,Good morning,2021-04-04T11:37:19Z,0,0
Sendhabhai Prajapati,કેમ છો અજુજુભાઈ મજામાં છો બનાશકાઠા માં થરાદ મા કયારે આયા છો,2021-04-04T11:37:14Z,0,0
Najıs Ali,Hello Ajju bhai bhai apna mobile number do na I am Gril,2021-04-04T11:37:09Z,0,0
NOOB gamer,Ajju bhai please aapkaFace reveal karo,2021-04-04T11:36:48Z,0,0
Gouri Sarivastav,Amit bhai ne I&#39;d kyu change kar diya,2021-04-04T11:34:56Z,0,0
Najıs Ali,Hello Ajju bhai namaskar bhai main aapse custom khelna chahta hun Agar Main Har Gaya to main aapko 1 lakh down Diamond Dunga agar aap Jeet Gaye To Mujhe aap aapko ek lakh Mujhe Diamond Dena Hoga bhai start manjur hai to bol main apna hi Abhi likh deta hun 298034401,2021-04-04T11:34:38Z,0,0
samarth Motwani,Bhai I&#39;d pata h app ki,2021-04-04T11:34:31Z,0,0
jeet domadiya,omagla yani ladaki dekhane ka website,2021-04-04T11:34:16Z,0,0
Ashok Sir,No you have not,2021-04-04T11:33:02Z,0,0
Aman Singh,Ajju bhai,2021-04-04T11:33:01Z,0,0
Aman Singh,1 vs 1,2021-04-04T11:32:50Z,0,0
Rahul kumar rai,Etna jyada diamond kaise Bhai ??,2021-04-04T11:32:00Z,0,0
Sumit Yadav,Ajjubhai please my request accept,2021-04-04T11:31:57Z,0,0
Vikas salunke,Hi,2021-04-04T11:30:49Z,0,0
RISHABH YADAV,My favourite team mi,2021-04-04T11:29:46Z,0,0
Noob Nidhi,Op,2021-04-04T11:29:42Z,0,0
nitin lodhi,please,2021-04-04T11:28:53Z,0,0
nitin lodhi,please,2021-04-04T11:28:46Z,0,0
nitin lodhi,please,2021-04-04T11:28:40Z,0,0
nitin lodhi,please,2021-04-04T11:28:34Z,0,0
nitin lodhi,please,2021-04-04T11:28:29Z,0,0
nitin lodhi,please,2021-04-04T11:28:23Z,0,0
khem rana gaming official,Ajubhai dimonend de do,2021-04-04T11:28:22Z,0,0
nitin lodhi,please,2021-04-04T11:28:18Z,0,0
nitin lodhi,please,2021-04-04T11:28:12Z,0,0
swastik optom,Bhai cani join your guild,2021-04-04T11:27:38Z,0,0
nitin lodhi,please,2021-04-04T11:27:26Z,0,0
